op_unique_carrier,op_carrier_fl_num,origin,origin_city_name,origin_state_nm,dest,dest_city_name,dest_state_nm,dep_delay,taxi_out,taxi_in,arr_delay,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,fl_year,fl_month,fl_day,fl_dayofweek,is_weekend,season,crs_dep_hour,crs_dep_min,dep_hour,dep_min,wheels_off_hour,wheels_off_min,wheels_on_hour,wheels_on_min,crs_arr_hour,crs_arr_min,arr_hour,arr_min
1,1911.0,222,208,47,56,48,31,-0.16758192729820967,0.9345337854715804,-0.19996600761478792,-0.02642232344548387,0,0,-0.8679070948995828,-0.7660765101228606,-0.8976491932423561,-0.9715737247782585,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,6,14,4,0,1,6,35,6,39,7,6,7,58,7,59,8,5
13,1102.0,267,254,7,33,181,41,-0.5032033202409874,-1.2162876316236921,-0.6241875981275594,-0.6188874933530863,0,0,-0.5112204457501939,-0.6146493225074562,-0.40184318127057694,-0.37727701224860805,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,10,26,5,1,0,19,25,19,11,19,17,19,44,20,15,19,48
1,2832.0,146,147,4,204,198,36,-0.27945572494580223,-0.49934715925860135,0.36566277973557415,-0.4573060833782857,0,0,2.3697101819948707,2.2349350262551533,2.3321728276023768,2.61931767909808,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,8,21,2,0,2,9,5,9,3,9,16,16,56,17,25,17,7
12,2432.0,95,239,40,71,70,5,-0.3540382567108639,-0.8066073617007832,2.0625491417866604,-0.40344561338668544,0,0,-0.41518942482535837,-0.46322213489205183,-0.5718338139466155,-0.5932327190551571,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,3,23,5,1,3,9,5,8,59,9,9,9,24,10,2,9,47
12,1926.0,125,266,47,71,70,5,-0.20487319318074051,-0.6017672267393286,0.7898843702483457,-0.5650270233614861,0,0,1.3270876690966569,1.051049741261992,1.0855748546447606,1.0289461948638043,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,7,21,6,1,2,16,10,16,12,16,24,17,36,18,14,17,50
12,1101.0,72,65,5,125,269,47,-0.3540382567108639,0.012753178145034964,-0.6241875981275594,-0.4393525933810856,0,0,0.7097453917227144,0.638066502310889,0.7172618171800103,1.0289461948638043,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,12,18,2,0,0,8,0,7,54,8,12,12,58,13,19,13,2
4,3146.0,16,15,8,186,182,16,-0.29810135788706765,-0.8066073617007832,-0.3413732044523784,-0.34958514339508523,0,0,-0.7581573566997708,-0.8073748340179708,-0.6851609023973079,-0.690329083355776,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,10,11,4,0,0,15,40,15,37,15,47,15,54,16,12,16,0
13,1124.0,257,232,7,46,19,18,-0.3167469908283331,-0.8066073617007832,0.36566277973557415,-0.3136781634006851,0,0,-0.031065341126016423,-0.03647278797591226,0.037299286475856,0.07137515383011402,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,4,12,4,0,1,18,10,18,6,18,16,20,14,20,35,20,25
11,4055.0,78,67,20,194,189,25,-0.3353926237695985,-0.3969270917778741,-0.7655947949651499,-0.24186420341188478,0,0,-0.3328771211754994,-0.2704966233815372,-0.14685723225651912,-0.3119880776326746,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,7,24,2,0,2,8,32,8,27,8,41,9,26,9,35,9,29
5,2920.0,267,254,7,55,55,33,-0.018416863768086253,1.3442140553944895,0.36566277973557415,0.2967404965041175,0,0,0.11984054889872506,0.3627443430101538,0.15062637492654837,0.1500566904185466,0.20972492851334995,-0.06894253228977358,0.5637433197083932,-0.023245306255910498,-0.20843730158677687,2024,9,8,6,1,2,18,5,18,17,18,48,20,54,20,41,21,5
